Unnamed: 0,GRAPES,Unnamed: 2
AHF,ARRATHIRTYTHREE/FLAME SEEDLESS,GRAPES
ARL ,ARRATHIRTYTHREE/STARLIGHT,GRAPES 
AWS,ARRATHIRTYTHREE/TAWNY SEEDLESS,GRAPES 
A33,ARRATHIRTYTHREE (ARRA HONEY POP™),GRAPES
ARH,ARRATHRTYTHREE (ARRA HONEY POP™)/STARLIGHT,GRAPES
AAW,ARRATHRTYTHREE (ARRA HONEY POP™)/TAWNY SEEDLESS,GRAPES
AHW,ARRATHIRTYTHREE/ARRATWENTYNINE,GRAPES
AUM,ARRATHIRTYTHREE/SUGRATHIRTEEN(MIDNIGHT BEAUTY®),GRAPES
HPM,ARRATHIRTYTHREE (ARRA HONEY POP™)/SUGRATHIRTEEN (MIDNIGHT BEAUTY®),GRAPES
AHP,ARRATHIRTYTHREE(ARRA HONEY POP™)/SUGRASIXTEEN(SABLE SEEDLESS®) ,GRAPES
AHO,ARRATHIRTYFOUR,GRAPES
A34,ARRATHIRTYFOUR (ARRA YUM!BO™),GRAPES
ATK,AUTUMN KING,GRAPES
AKL,AUTUMN KING/SHEEGENE 20(ALLISON™),GRAPES
AGA,AUTUMN KING/SUGRANINETEEN,GRAPES
AUQ,AUTUMN QUEEN,GRAPES
SAQ,AUTUMN QUEEN/SUGRANINETEEN,GRAPES
ATR,AUTUMN ROYAL,GRAPES
ACM,AUTUMN ROYAL/CRIMSON SEEDLESS,GRAPES
ACR,AUTUMN ROYAL/CRIMSON SEEDLESS/ REGAL SEEDLESS,GRAPES
AFT,AUTUMN ROYAL/FLAME SEEDLESS/ THOMPSON SEEDLESS,GRAPES
A12,AUTUMN ROYAL/SHEEGENE 12,GRAPES
AUS,AUTUMN ROYAL/SUGRAONE,GRAPES
AUO,AUTUMN ROYAL/SUGRATHIRTYFIVE(AUTUMNCRISP®),GRAPES
ASM,AUTUMN ROYAL/SUNDANCE SEEDLESS,GRAPES
ASR,AUTUMN ROYAL/SUNRED SEEDLESS/REGAL SEEDLESS,GRAPES
ASS,AUTUMN ROYAL/SUNRED SEEDLESS/SUNDANCE SEEDLESS,GRAPES
